	I	O	P	pmid	y
16	Angiotensin-II receptor antagonists: a new class of antihypertensive agents.. Pharmacologic agents that attenuate the influence of the renin-angiotensin-aldosterone system are known to reduce systemic arterial blood pressure through vasodilatory action and enhanced renal clearance of sodium and water.	Angiotensin-II receptor antagonists: a new class of antihypertensive agents.. Pharmacologic agents that attenuate the influence of the renin-angiotensin-aldosterone system are known to reduce systemic arterial blood pressure through vasodilatory action and enhanced renal clearance of sodium and water.	Clinical trials are underway to see if these drugs will be useful in the treatment of diseases other than hypertension, such as congestive heart failure and chronic renal disease.	8629540	-1
17	Is there proof that captopril causes proteinuria?.	Is there proof that captopril causes proteinuria?.	Is there proof that captopril causes proteinuria?.	11926863	-1
18	Use of angiotensin-converting enzyme inhibitors as monotherapy and in combination with diuretics and calcium channel blockers.. Angiotensin-converting enzyme (ACE) inhibitors have earned an important place in medical therapy since their discovery about two decades ago.	Use of angiotensin-converting enzyme inhibitors as monotherapy and in combination with diuretics and calcium channel blockers.. Angiotensin-converting enzyme (ACE) inhibitors have earned an important place in medical therapy since their discovery about two decades ago.	Use of angiotensin-converting enzyme inhibitors as monotherapy and in combination with diuretics and calcium channel blockers.. Angiotensin-converting enzyme (ACE) inhibitors have earned an important place in medical therapy since their discovery about two decades ago.	9650536	-1
19	An open clinical trial of benazepril--a new ACE inhibitor in mild-moderate hypertension.. Benazepril hydrochloride, a new non-sulfhydryl ACE inhibitor (ACEI) was studied in a titrated dose of 10 mg-20 mg once a day for 6 weeks in 42 mild to moderate adult hypertensive patients with sitting diastolic blood pressure (SDBP) 95-114 mm Hg.	An open clinical trial of benazepril--a new ACE inhibitor in mild-moderate hypertension.. Benazepril hydrochloride, a new non-sulfhydryl ACE inhibitor (ACEI) was studied in a titrated dose of 10 mg-20 mg once a day for 6 weeks in 42 mild to moderate adult hypertensive patients with sitting diastolic blood pressure (SDBP) 95-114 mm Hg.	An open clinical trial of benazepril--a new ACE inhibitor in mild-moderate hypertension.. Benazepril hydrochloride, a new non-sulfhydryl ACE inhibitor (ACEI) was studied in a titrated dose of 10 mg-20 mg once a day for 6 weeks in 42 mild to moderate adult hypertensive patients with sitting diastolic blood pressure (SDBP) 95-114 mm Hg.	11273348	-1
20	The first 11 patients did not receive any drug, the following 20 patients ingested a single oral dose of captopril (1 mg/kg) and the last 22 patients received a renin inhibitor infusion (remikiren; 1 mg/kg over 60 min).	Even though the baseline renin levels were within the narrow range 5-80 pg/ml, the diastolic blood pressure fall analysed as area under the curve from time 32 min to time 60 min was significantly correlated with the baseline active renin level in both groups (remikiren r = 0.44, P < 0.05; captopril r = 0.47, P < 0.05).	DESIGN AND METHODS: Fifty-three consecutive untreated hypertensive patients (mean +/- SD age 55 +/- 10 years, 42 male) were investigated on their usual sodium diet in a 3-h protocol.	8064166	-1
21	The introduction of agents that block the renin-angiotensin system has provided major benefit to patients with hypertension, renal diseases, and congestive heart failure.	When promptly identified and treated, changes in kidney function under these conditions represent a modest and acceptable risk worth taking in exchange for major therapeutic benefits.	The introduction of agents that block the renin-angiotensin system has provided major benefit to patients with hypertension, renal diseases, and congestive heart failure.	9000551	-1
22	In the hypertensive patients with coronary disease the authors also evaluated sympathetic activation after double-blind, placebo-controlled administration of metoprolol (100 mg/day), followed by amlodipine (10 mg/day), quinapril (20 mg/day), and amlodipine (5 mg/day) plus quinapril (10 mg/day).	The authors assessed autonomic system activity by power spectrum analysis of heart rate variability in 21 elderly hypertensive men with and without angiographically confirmed coronary artery disease and compared the results with those from an age-matched control group.	The authors assessed autonomic system activity by power spectrum analysis of heart rate variability in 21 elderly hypertensive men with and without angiographically confirmed coronary artery disease and compared the results with those from an age-matched control group.	8546341	-1
23	In patients with a mean trough (24 +/- 3 hours after dose) sitting DBP of 90 mmHg or higher after 4 weeks of once daily administration of candesartan 16 mg or losartan 50 mg, dose was titrated up to candesartan 32 mg or losartan 100 mg once daily.	Responder rates (sitting DBP < 90 mmHg or reduction in blood pressure of > or = 10 mmHg) and control rates (sitting DBP <90 mmHg) were higher with candesartan (64% versus 54% and 54% versus 43%, respectively).	Comparative effects of candesartan cilexetil and losartan in patients with systemic hypertension.	11720604	-1
24	They received 30-60 mg nifedipine GITS or 5-10 mg enalapril.	Underestimation of 24-hour hypotensive efficacy of nifedipine GITS versus enalapril: ambulatory recording as an adjunct to clinical blood pressure measurement..	Underestimation of 24-hour hypotensive efficacy of nifedipine GITS versus enalapril: ambulatory recording as an adjunct to clinical blood pressure measurement..	11055475	-1
25	A crossover study was performed to determine if ACE inhibition with perindopril (4 mg/day) for 4 weeks decreases serum ADMA concentration and plasma von Willebrand factor (vWF) level (a marker of endothelial injury) in 11 patients with NIDDM.	Perindopril did not affect blood pressure or glucose metabolism, but did significantly decrease serum ADMA and plasma vWF.	Angiotensin-converting enzyme activity is involved in the mechanism of increased endogenous nitric oxide synthase inhibitor in patients with type 2 diabetes mellitus..	12224817	-1
26	The medical charts of 227 patients for whom lisinopril was prescribed from June 1991 to June 1992 were reviewed for appropriateness of prescribing, appropriateness of monitoring, occurrence of any adverse drug reactions, and detection of drug interactions.	The medical charts of 227 patients for whom lisinopril was prescribed from June 1991 to June 1992 were reviewed for appropriateness of prescribing, appropriateness of monitoring, occurrence of any adverse drug reactions, and detection of drug interactions.	Lisinopril use in a large military medical center..	9038030	-1
27	OBJECTIVE: This study was designed to show the effects of sublingually administered nifedipine and captopril on middle cerebral arterial blood flow during hypertensive crisis in the emergency department.	OBJECTIVE: This study was designed to show the effects of sublingually administered nifedipine and captopril on middle cerebral arterial blood flow during hypertensive crisis in the emergency department.	METHODS AND RESULTS: Transcranial Doppler ultrasonography (TCD) was performed on the patients fulfilling the criteria (15 patients given captopril, 13 patients given nifedipine, mean (+/-SD) age 56 +/- 11 and 54 +/- 10 years, respectively).	12699135	-1
28	Participants were randomized to treatment with placebo, chlorthalidone (15 mg/d), acebutolol hydrochloride (400 mg/d), doxazosin mesylate (2 mg/d), amlodipine besylate (5 mg/d), or enalapril maleate (5 mg/d); all were given nutritional-hygienic intervention.	Efficacy and tolerance of antihypertensive treatment in men and women with stage 1 diastolic hypertension.	METHODS: Participants were African-American and white hypertensive men (n = 557) and women (n = 345) (age range, 45 to 69 years) with a diastolic blood pressure less than 100 mm Hg.	8607723	-1
29	ACE inhibitors have achieved widespread usage in the treatment of cardiovascular and renal disease.	They have proved effective in the treatment of hypertension, they decrease mortality in congestive heart failure and left ventricular dysfunction after myocardial infarction, and they delay the progression of diabetic nephropathy.	They have proved effective in the treatment of hypertension, they decrease mortality in congestive heart failure and left ventricular dysfunction after myocardial infarction, and they delay the progression of diabetic nephropathy.	9577953	-1
30	Antinuclear antibody-negative, drug-induced lupus caused by lisinopril..	Our patient had negative results on ANA testing and had histone antibodies (IgG anti-[H2A-H2B]-DNA) mirroring the disease course.	Antibodies to the (H2A-H2B)-DNA complex are seen in more than 90% of patients with active DIL, excluding those with DIL due to hydralazine.	11780682	1
31	The study group consisted of 29 elderly patients with hypertension (mean age, 69 yr), who were divided into two groups: 15 patients received nifedipine (group N) and 14 received enalapril (group E).	Effects of nifedipine and enalapril on cardiac autonomic nervous function during the tilt test in elderly patients with hypertension.. To clarify the effects of nifedipine and enalapril on cardiac autonomic nervous function during postural changes, power spectral analysis of heart rate variability and humoral factors was performed during tilt tests before and after 3 months of drug administration.	Effects of nifedipine and enalapril on cardiac autonomic nervous function during the tilt test in elderly patients with hypertension.. To clarify the effects of nifedipine and enalapril on cardiac autonomic nervous function during postural changes, power spectral analysis of heart rate variability and humoral factors was performed during tilt tests before and after 3 months of drug administration.	9101305	-1
32	After a washout period of at least 4 wk, ceronapril or delapril was administered to 18 patients and nifedipine or nicardipine to 15 patients for 6 months.	Mean blood pressure (MBP), LV mass (LVM), LV fractional shortening (FS), systolic time intervals (ejection time/pre-ejection period ratio = ET/PEP), and isovolumic relaxation time (IRT) were examined in the pretreatment phase and after 6 months of treatment.	Effects of ACE inhibitors versus calcium antagonists on left ventricular morphology and function in patients with essential hypertension.. We compared the effects of two long-term antihypertensive treatments (ACE inhibitors vs. Ca antagonists) on left ventricular hypertrophy (LVH) and LV function in patients with essential hypertension and LVH.	9101306	-1
33	METHODS AND RESULTS: Twenty patients with moderately severe chronic heart failure received enalapril 10 mg and losartan 50 mg on 2 separate occasions in a single-blind, randomized, crossover design.	CONCLUSIONS: Acute AT1 antagonism in patients with heart failure is associated with a significant improvement in plasma fibrinolytic parameters that is greater than during ACE inhibition.	CONCLUSIONS: Acute AT1 antagonism in patients with heart failure is associated with a significant improvement in plasma fibrinolytic parameters that is greater than during ACE inhibition.	10368114	-1
34	Active treatment consisted of nitrendipine (10- 40 mg/day) with the possible addition of captopril (12.5- 50 mg/day) and hydrochlorothiazide (12.5-50 mg/day), as necessary to reduce systolic pressure to a level of 150 mm Hg or lower and by at least 20 mm Hg.	This report on the ongoing double-blind placebo-controlled Syst-China trial investigated whether antihypertensive drug treatment based mainly on a calcium entry blocker and a converting enzyme inhibitor, would be suitable for maintaining long-term blood pressure (BP) control in older Chinese patients (average age: 67 years) with isolated systolic hypertension (systolic pressure 160-219 mm Hg and diastolic pressure < 95 mm Hg).	This report on the ongoing double-blind placebo-controlled Syst-China trial investigated whether antihypertensive drug treatment based mainly on a calcium entry blocker and a converting enzyme inhibitor, would be suitable for maintaining long-term blood pressure (BP) control in older Chinese patients (average age: 67 years) with isolated systolic hypertension (systolic pressure 160-219 mm Hg and diastolic pressure < 95 mm Hg).	9004103	-1
35	The control group was formed by seven healthy subjects.	We have studied the influence of salt intake on the glomerular filtration rate (GFR) (Creatinine Clearance) in 14 patients with mild hypertension.	Does high salt intake cause hyperfiltration in patients with essential hypertension?.	8733032	-1
36	LDL-apheresis and concomitant ACE-inhibitor therapy..	LDL-apheresis and concomitant ACE-inhibitor therapy..	LDL-apheresis and concomitant ACE-inhibitor therapy..	8155084	-1
37	OBJECTIVES: The purpose of this study was to determine the effectiveness and safety of diltiazem or lisinopril for treatment of hypertension after heart transplantation.	Effectiveness and safety of diltiazem or lisinopril in treatment of hypertension after heart transplantation.	Effectiveness and safety of diltiazem or lisinopril in treatment of hypertension after heart transplantation.	8636558	-1
38	Enalapril/Diltiazem ER in Hypertensive Renal Disease Group..	Evaluation of enalapril/diltiazem ER in hypertensive patients with coexisting renal dysfunction.	A combination of enalapril/diltiazem ER was evaluated in 62 patients with Stage 1-3 hypertension and coexisting renal disease.	9004108	-1
39	Optimal management requires a systematic approach comprising 5 key elements: coordination of care across disciplines, patient and caregiver education, enhancement of self-management skills, effective followup, and the judicious use of medications.	Management of heart failure in the elderly..	In addition, few patients over 80 years of age have been enrolled in clinical trials, so that the efficacy of current heart failure therapies remains uncertain in this age group.	11790925	-1
40	Management of heart failure..	Management of heart failure..	Management of heart failure..	11281082	-1
41	Moexipril in the treatment of mild to moderate essential hypertension: comparison with sustained-release verapamil.. To compare and contrast the antihypertensive efficacy of an angiotensin-converting enzyme (ACE) inhibitor to a calcium antagonist, 88 and 90 patients with essential hypertension were randomly assigned to receive moexipril and verapamil, respectively.	At the end of the first 6 weeks of active therapy, sitting diastolic blood pressure decreased by 11 mmHg in patients receiving moexipril and by 9 mmHg in patients receiving verapamil.	Moexipril in the treatment of mild to moderate essential hypertension: comparison with sustained-release verapamil.. To compare and contrast the antihypertensive efficacy of an angiotensin-converting enzyme (ACE) inhibitor to a calcium antagonist, 88 and 90 patients with essential hypertension were randomly assigned to receive moexipril and verapamil, respectively.	8522636	1
42	A total of 883 patients were randomized either to the dihydropyridine calcium antagonist (CA) isradipine (2.5-5 mg twice a day) or to the diuretic hydrochlorothiazide (12.5-25 mg twice a day) and followed in double-blind fashion for 3 years.	RESULTS: Both treatment groups had achieved comparable control of diastolic blood pressure, and there were no statistically significant differences in any of the glycemia indices, either at baseline or during follow-up.	RESEARCH DESIGN AND METHODS: Inclusion criteria included men and women > or = 40 years of age with ultrasonographically confirmed carotid atherosclerosis and a diastolic blood pressure of > 90 mmHg.	9839101	-1
43	OBJECTIVE: To establish the optimal dose of the perindopril/indapamide combination (Per/Ind) in the treatment of mild or moderate hypertension.	Similar findings were noted for supine systolic blood pressure, standing blood pressure and ambulatory blood pressure.	OBJECTIVE: To establish the optimal dose of the perindopril/indapamide combination (Per/Ind) in the treatment of mild or moderate hypertension.	10726719	-1
44	The influence of a 3-month antihypertensive treatment on cardiac structure and renal function was assessed in patients with uncomplicated essential hypertension randomly allocated to treatment by the nonselective beta-blocker tertatolol or the angiotensin-converting enzyme inhibitor enalapril.	Both tertatolol and enalapril treatments were associated with a similar decrease in mean arterial pressure (-26 +/- 6 and -15 +/- 2 mm Hg, respectively, both p < 0.05 in comparison with baseline values) and left ventricular mass (echocardiography: -48 +/- 17 vs. -18 +/- 6 g) but no change in glomerular filtration rate (DTPA clearance).	The influence of a 3-month antihypertensive treatment on cardiac structure and renal function was assessed in patients with uncomplicated essential hypertension randomly allocated to treatment by the nonselective beta-blocker tertatolol or the angiotensin-converting enzyme inhibitor enalapril.	7903217	1
45	Sodium nitroprusside (SNP) has the most reliable antihypertensive activity, which begins immediately after its administration and ends when the infusion is stopped.	Management of hypertensive urgencies and emergencies.. Hypertensive emergency is a condition in which there is elevation of both systolic and diastolic blood pressure with the presence of acute target organ disease.	Management of hypertensive urgencies and emergencies.. Hypertensive emergency is a condition in which there is elevation of both systolic and diastolic blood pressure with the presence of acute target organ disease.	8522630	-1
46	METHODS: A four-year prospective, controlled trial with concealed randomization was performed comparing the effects of a low-protein diet (0.6 g/kg/day) with a usual-protein diet.	The main outcome measures were decline in GFR and development of ESRD or death.	The study included 82 type 1 diabetic patients with progressive diabetic nephropathy [pre-study mean decline in glomerular filtration rate (GFR) 7.1 mL/min/year (95% CI, 5.8 to 8.5)].	12081581	-1
47	OBJECTIVE: This study was designed mainly to establish the rates of response to valsartan 80mg once daily (qd) and to valsartan 160mg qd given to non-responders to 80mg qd, as well as to determine the safety of valsartan and the blood pressure control achieved using valsartan over a period of 24 h or more, using ambulatory blood pressure monitoring (ABPM) devices.	OBJECTIVE: This study was designed mainly to establish the rates of response to valsartan 80mg once daily (qd) and to valsartan 160mg qd given to non-responders to 80mg qd, as well as to determine the safety of valsartan and the blood pressure control achieved using valsartan over a period of 24 h or more, using ambulatory blood pressure monitoring (ABPM) devices.	Canadian valsartan study in patients with mild-to-moderate hypertension..	11433130	-1
48	METHODS: A total of 493 patients aged < or = 75 years with first infarctions, presenting within 4 h of symptom onset, were randomized to receive 6.25 mg captopril, increasing to 50 mg t.d.s.	Effects of early captopril administration after thrombolysis on regional wall motion in relation to infarct artery blood flow..	METHODS: A total of 493 patients aged < or = 75 years with first infarctions, presenting within 4 h of symptom onset, were randomized to receive 6.25 mg captopril, increasing to 50 mg t.d.s.	9935020	-1
49	Isradipine versus captopril in patients with essential hypertension.. We conducted a double-blind, crossover study comparing the antihypertensive effects of isradipine versus captopril in patients with essential hypertension.	There was no correlation between the pretreatment plasma levels of pressor hormones (plasma renin activity, catecholamines, and arginine vasopressin) and the magnitude of BP response to either drug, but the decrease in BP in response to captopril correlated significantly with the increase in plasma renin activity during treatment (r = -.84; P < 0.05).	Isradipine versus captopril in patients with essential hypertension.. We conducted a double-blind, crossover study comparing the antihypertensive effects of isradipine versus captopril in patients with essential hypertension.	8565028	-1
50	These patients were randomized in a prospective triple-blind manner to receive either enalapril or placebo.	Enalapril reduces QTc dispersion in mild congestive heart failure secondary to coronary artery disease..	Enalapril reduces QTc dispersion in mild congestive heart failure secondary to coronary artery disease..	9036753	-1
51	OBJECTIVES: The goal of this study was to compare myocardial perfusion reserve (MPR) before and after long-term treatment with lisinopril and losartan in patients with hypertension and left ventricular hypertrophy (LVH).	METHODS: We measured pre- and post-treatment myocardial blood flow (MBF) by positron emission tomography in 17 patients (lisinopril: 9 patients, losartan: 8 patients) with hypertension and LVH at baseline and after coronary vasodilation with intravenous dipyridamole.	OBJECTIVES: The goal of this study was to compare myocardial perfusion reserve (MPR) before and after long-term treatment with lisinopril and losartan in patients with hypertension and left ventricular hypertrophy (LVH).	12204500	-1
52	DESIGN: Double blind, crossover study for three days in hospital followed by an extended similar study outside hospital over two months of once daily enalapril plus salicylate and enalapril plus placebo.	MAIN OUTCOME MEASURES: Blood pressure, plasma converting enzyme activity; plasma angiotensin II and noradrenaline concentrations; excretion of metabolites of renal and systemic prostanoids.	Combining salicylate and enalapril in patients with coronary artery disease and heart failure.. OBJECTIVE: To study the effects of adding a salicylate to the angiotensin converting enzyme inhibitor enalapril in patients with heart failure due to coronary artery disease.	7727181	-1
53	Spurious ketonuria due to captopril and other free sulfhydryl drugs..	Spurious ketonuria due to captopril and other free sulfhydryl drugs..	Spurious ketonuria due to captopril and other free sulfhydryl drugs..	8725875	-1
54	After a 4 week placebo run-in period, patients were randomly allocated to received verapamil SR 240 mg once daily or enalapril 20 mg once daily for 4 weeks in a double-blind fashion.	At the end of the placebo, single and combined treatment periods, resting and exercise (bicycle ergometry) haemodynamics were evaluated by radionuclide ventricular angiography (technetium-99m) and the following parameters were assessed: BP, heart rate, double product, systemic vascular resistances (SVR), cardiac output (CO), stroke volume (SV), ejection fraction (EF) mean ejection rate (mER) and peak filling rate (PFR).	The aim of the study was to evaluate the effects of verapamil sustained release (SR) 240 mg, enalapril and their combination on blood pressure (BP) and cardiac haemodynamics at rest and during exercise in 20 patients with moderate essential hypertension (seven men and 13 women, mean age +/- s.d.	7783096	-1
55	It was carried out in four United Kingdom and six Polish hospitals in consecutive phases: oral captopril vs oral mononitrate vs placebo were compared among 400 patients in a 'three-way' study; and then oral captopril vs placebo and oral mononitrate vs placebo were compared among 474 patients in '2 x 2' and '2 x 2 x 2' factorial studies (with 208 patients in the latter study also randomized between intravenous magnesium and open control).	The purpose of this randomized controlled study was to assess the haemodynamic effects, safety and tolerability in acute myocardial infarction (AMI) of one month of oral captopril, one month of oral isosorbide mononitrate and 24 h of intravenous magnesium.	Randomized controlled trial of oral captopril, of oral isosorbide mononitrate and of intravenous magnesium sulphate started early in acute myocardial infarction: safety and haemodynamic effects.	8055999	1
56	METHODS: 69 patients with impaired systolic function (left-ventricular ejection fraction <40%) and symptomatic heart failure (New York Heart Association class II-IV) were randomised to receive treatment guided by either plasma N-BNP concentration (BNP group) or standardised clinical assessment (clinical group).	INTERPRETATION: N-BNP-guided treatment of heart failure reduced total cardiovascular events, and delayed time to first event compared with intensive clinically guided treatment.	Treatment of heart failure guided by plasma aminoterminal brain natriuretic peptide (N-BNP) concentrations.. BACKGROUND: There is currently no objective practical guide to intensity of drug treatment for individuals with heart failure.	10791374	-1
57	INTERVENTIONS: Twice daily doses of isradipine (2.5-5.0 mg) or hydrochlorothiazide (12.5-25 mg).	MAIN OUTCOME MEASURE (PRIMARY END POINT): Rate of progression of mean maximum IMT in 12 carotid focal points over 3 years.	POPULATION: A total of 883 patients with baseline mean +/- SD systolic and diastolic blood pressure (SBP and DBP, respectively) of 149.7 +/- 16.6 and 96.5 +/- 5.1 mm Hg, age of 58.5 +/- 8.5 years, and maximum IMT of 1.17 +/- 0.20 mm.	8769587	-1
58	OBJECTIVES: The purpose of this study was to evaluate the relationship of baseline pulse pressure and mean arterial pressure to mortality in patients with left ventricular dysfunction.	Higher pulse pressure was associated with increased prevalence of female gender, greater calcium channel blocking agent, digoxin and diuretic use, lower heart rate and a higher rate of reported smoking history.	OBJECTIVES: The purpose of this study was to evaluate the relationship of baseline pulse pressure and mean arterial pressure to mortality in patients with left ventricular dysfunction.	10091821	-1
